Город;ПЕКИН;ШАНХАЙ;ТЯНЬЦЗИНЬ;ЧЭНДУ;ГУАНЧЖОУ (ГУНЧЖОУ);ХАНЧЖОУ;УХАНЬ;ШЭНЬЧЖЭНЬ;ЧАНЧУНЬ;ХАРБИН;НАНКИН;ДАЛИАН;ЦЮНДАО;ХАЙКОУ;СИАНЬ;ЦИНДАО
ПЕКИН;1;0;0.5;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
ШАНХАЙ;0;1;0;0;0;0.5;0.5;0;0;0;0.5;0.5;0.5;0;0;0.5
ТЯНЬЦЗИНЬ;0.5;0;1;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
ЧЭНДУ;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;0
ГУАНЧЖОУ (ГУНЧЖОУ);0;0;0;0;1;0;0;0.5;0;0;0;0;0;0.5;0;0
ХАНЧЖОУ;0;0.5;0;0;0;1;0.5;0;0;0;0.5;0.5;0.5;0;0;0.5
УХАНЬ;0;0.5;0;0;0;0.5;1;0;0;0;0.5;0.5;0.5;0;0;0.5
ШЭНЬЧЖЭНЬ;0;0;0;0;0.5;0;0;1;0;0;0;0;0;0.5;0;0
ЧАНЧУНЬ;0.5;0;0.5;0;0;0;0;0;1;0.5;0;0;0;0;0;0
ХАРБИН;0.5;0;0.5;0;0;0;0;0;0.5;1;0;0;0;0;0;0
НАНКИН;0;0.5;0;0;0;0.5;0.5;0;0;0;1;0.5;0.5;0;0;0.5
ДАЛИАН;0;0.5;0;0;0;0.5;0.5;0;0;0;0.5;1;0.5;0;0;0.5
ЦЮНДАО;0;0.5;0;0;0;0.5;0.5;0;0;0;0.5;0.5;1;0;0;0.5
ХАЙКОУ;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;1;0;0
СИАНЬ;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;1;0
ЦИНДАО;0;0.5;0;0;0;0.5;0.5;0;0;0;0.5;0.5;0.5;0;0;1
