Название;тип;область;действие;объем, мл;цена;год презентации;аллергены;производитель
MIXIT volcanic vanilla;крем;тело;увлажнение;250;540;2024;1;Россия
GREEN SKINCARE hydra day cream refill;крем;лицо;увлажнение;50;5771;2024;0;Франция
I'M FROM beet purifying mask;маска;лицо;очищающее;110;4704;2023;0;Республика Корея
PAYOT masque baume réhydratant;маска;лицо;увлажнение;50;3700;2020;0;Франция
KUORA hyaluronic acid concentrated serum;сыворотка;лицо;увлажнение;30;3982;2024;0;Испания
MIXIT wow moisture;тоник;лицо;увлажнение;250;319;2023;0;Россия
BRUNO VASSARI white - brightening lotion;тоник;лицо;очищающее;250;5900;2020;0;Испания
BIODERMA sebium hydra moisturising replenishing care;крем;лицо;увлажнение;40;2159;2023;1;Франция
SWISS LINE force vitale живая вода;сыворотка;лицо;увлажнение;30;23580;2017;1;Швейцария
WALLY 1925 melograno;крем;тело;увлажнение;200;4270;2020;1;Италия
BEAUTY VIRUS #1;лосьон;тело;увлажнение;250;1200;2021;1;Турция
THE ACT body lotion virgin;лосьон;тело;увлажнение;300;1125;2024;1;Россия
THE ACT sea salt & coco;скраб;тело;отшелушивающее;300;888;2024;1;Россия
PAYOT granité exfoliant corps;скраб;тело;отшелушивающее;200;3488;2023;0;Франция
KEDMA royalty sauna;маска;лицо;очищающее;100;37600;2021;1;Израиль
I'M FROM rice mask;маска;лицо;очищающее;110;4290;2022;1;Республика Корея
BIODERMA sensibio;гель;лицо;очищающее;200;1882;2020;0;Франция
NEULI jeju dongbeak mild foam cleanser;пенка;лицо;очищающее;120;1990;2023;1;Республика Корея
MA:NYO pure & deep cleansing foam;пенка;лицо;очищающее;100;1990;2022;1;Республика Корея
OKOLO wilderness all-over wash;гель;тело;очищающее;500;1900;2021;1;Швеция
PAYOT rituel douceur;масло;тело;очищающее;400;2398;2023;1;Франция
RAD every superlative face scrub;скраб;лицо;отшелушивающее;150;850;2021;0;Нидерланды
3INA the oil drops energy;масло;лицо;увлажнение;15;1880;2020;1;Испания
INVIT гиалурон эффект;гель;лицо;увлажнение;50;2042;2021;0;Россия
